station,dst_score,total_flow,Latitude,Longitude
1119284,0.2724436621327432,63.785714285714285,32.952353,-117.244277
1119307,2.7782944097687934,963.9285714285714,32.807319,-117.21645
1119528,4.297775070565462,1554.821428571429,32.952353,-117.244277
1119532,0.2171035420166176,48.035714285714285,32.995955,-117.25672
1119637,2.600663362260811,1014.0714285714286,32.834969,-117.233294
1119659,4.0045839006326895,1418.2142857142858,33.017612,-117.27184
1119666,3.895035949922702,1444.071428571429,33.017499,-117.272051
1119679,4.509060011733967,1455.7857142857142,32.962322,-117.246309
1119817,2.6473994252362227,876.8571428571429,32.842472,-117.23661
1119828,3.619952972227377,1297.5,32.943477,-117.242328
1119834,3.5473573435019787,1385.7142857142858,32.943428,-117.242592
1119842,4.857465565953789,1679.2857142857142,32.96573,-117.247857
1119850,4.421677431518637,1453.607142857143,32.969013,-117.248831
1119877,4.5461416603353655,1437.5,33.055523,-117.289401
1119879,4.107617498313422,1658.321428571429,33.055577,-117.289125
1119890,4.198669092961393,1876.607142857143,33.073419,-117.294587
1119897,6.05161668639223,2485.535714285714,33.073357,-117.294868
1119903,3.92742792869403,1451.392857142857,33.09232,-117.303146
1119909,4.106098659336524,1716.9642857142858,33.092248,-117.303383
1119915,4.075747887649453,1452.392857142857,33.112683,-117.316473
1119921,4.019155240124167,1493.7142857142858,33.115949,-117.31811
1119928,4.096892351614244,1764.857142857143,33.142807,-117.333209
1119934,5.140689787087467,2202.535714285714,33.155404,-117.338099
1119941,4.95758176758506,2009.392857142857,33.167728,-117.34438
1119947,4.811861584427863,2038.2857142857144,33.173355,-117.348324
1119954,2.7811315066430318,1403.071428571429,33.218567,-117.391109
1119960,2.430024854528439,1042.857142857143,33.224874,-117.39375400000002
1119966,2.389911067883086,1203.571428571429,33.230196,-117.400904
1119972,2.0034198298153485,816.6071428571429,33.236554,-117.40592
1119978,2.835566790575203,1409.5,33.240152,-117.413376
1119984,2.850639706794668,1015.6428571428572,33.246111,-117.417364
1119990,3.1698698704458246,1211.9642857142858,33.25805,-117.426272
1119997,2.8475738302498694,1488.2142857142858,33.25794,-117.42653699999998
1120107,0.3675244572260876,93.39285714285714,32.943477,-117.242328
1120314,0.25857948985578105,58.07142857142857,32.979922,-117.253241
1120356,0.9672571497172125,375.4285714285714,32.613834,-117.091172
1120362,2.614226321014343,891.9642857142857,32.604036,-117.089762
1120377,0.1816636223935388,60.32142857142857,32.943428,-117.242592
1120385,0.42528044147430405,103.46428571428572,32.962322,-117.246309
1120388,0.31598989494585866,84.03571428571429,32.965743,-117.247862
1120394,0.48244113187708887,90.17857142857144,32.969013,-117.248831
1120415,0.5556879241997855,117.96428571428572,33.00551,-117.25907
1120694,0.48939513573694476,93.5,32.995723,-117.256395
1120754,1.410274696803248,302.57142857142856,32.91625,-117.232541
1121692,2.884941805760183,1017.9642857142856,33.281567,-117.449193
1121702,2.9242562050433025,1402.7857142857142,33.281427,-117.449437
1121707,2.893908112672394,1078.107142857143,33.303917,-117.470642
1121712,3.5019446623167525,1916.678571428572,33.303824,-117.470855
1121715,2.902507580628608,1061.428571428571,33.336618,-117.502921
1121724,2.884395185209779,1075.678571428571,33.363,-117.540497
1121731,3.0812232897616787,1464.678571428571,33.383518,-117.577735
1121734,3.898370201581347,2349.0,33.383288,-117.577886
1121737,2.9561619579462604,1103.9642857142858,33.393542,-117.591561
