,0,1,2,3,4,5,6,7,8,9,10,11
0,scenario_number,iteration,charging_rate,km_per_kwh,battery_capacity,success,station_utilization_disp_of_avg,station_utilization_avg_of_disp,electricity,percent_delay,hours_spent_in_queues,hours_spent_charging
12,1,4,45,1.9,430,True,5.797135416666666,7.162239583333333,0,"(1.0, 1.2016211296691148, 2.9483372997372066, 1.2500347208623563, 0.259242199866145)","(0.0, 0.0, 4.0, 0.07528868360277137, 0.3667017619956196)","(0, 0.0, 17, 0.6224018475750578, 2.0528596075500816)"
13,2,0,45,0.95,215,True,11.605208333333334,13.1390625,0,"(1.0, 1.0, 2.4502426998385123, 1.0460041374242088, 0.18546345190196487)","(0.0, 0.0, 4.6, 0.09388942774005818, 0.4703750318692278)","(0, 0.0, 19, 0.5984481086323957, 2.2974192743145645)"
14,2,1,45,0.95,215,True,7.305208333333333,8.739322916666667,0,"(1.0, 1.2016211296691148, 2.438049672493207, 1.2331678967808122, 0.23023156530178776)","(0.0, 0.0, 1.8, 0.044859813084112146, 0.2173474950825444)","(0, 0.0, 12, 0.5116822429906542, 1.778599147381969)"
15,2,2,45,0.95,215,True,9.518489583333334,10.3046875,0,"(1.0, 1.2754746876427756, 2.3920487352763535, 1.2645913923739174, 0.24856229538603036)","(0.0, 0.0, 2.2, 0.07505773672055427, 0.3080918834953446)","(0, 0.0, 12, 0.49653579676674364, 1.7918501693275177)"
16,2,3,45,0.95,215,True,7.857291666666667,8.86796875,0,"(1.0, 1.2016211296691148, 2.7294761109788572, 1.254231454560546, 0.2650467723673826)","(0.0, 0.0, 3.2, 0.08057553956834532, 0.41161978064004334)","(0, 0.0, 13, 0.5275779376498801, 1.9079116194213097)"
17,2,4,45,0.95,215,True,8.333072916666667,9.372916666666667,0,"(1.0, 1.2016211296691148, 2.9349728030705498, 1.2295712993182555, 0.2668345749338473)","(0.0, 0.0, 4.2, 0.08963795255930088, 0.4580858984893655)","(0, 0.0, 12, 0.40324594257178525, 1.6725557232503254)"
18,2,4,45,0.95,215,True,7.276041666666666,8.678125,0,"(1.0, 1.2016211296691148, 3.12638407283602, 1.2357336586625165, 0.2643184728728904)","(0.0, 0.0, 4.8, 0.08144690781796968, 0.41796725100240617)","(0, 0.0, 15, 0.5414235705950992, 1.9482150713183262)"
19,3,0,90,1.9,215,True,24.20520833333333,24.39140625,0,"(1.0, 1.0, 4.529187227438623, 1.5438197253894252, 0.9705640834854347)","(0.0, 0.0, 7.2, 0.9394871794871794, 1.9081014173954178)","(0, 0.0, 20, 2.2666666666666666, 4.559652108486715)"
20,3,1,90,1.9,215,True,16.972916666666666,17.168489583333333,0,"(1.0, 1.178656224377259, 3.046247667223652, 1.4741576901600553, 0.5065462326322847)","(0.0, 0.0, 3.4, 0.42388059701492536, 0.7453516754333389)","(0, 0.0, 11, 1.585820895522388, 2.4211645460328306)"
21,3,2,90,1.9,215,True,16.747916666666665,17.40625,0,"(1.0, 1.3864859188489786, 3.7897281781872088, 1.8071817241687793, 0.8188003895820414)","(0.0, 0.0, 5.0, 1.1211009174311926, 1.4663987839211394)","(0, 2.0, 10, 1.7559633027522936, 2.21361223296208)"
