,OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
1280,1281,MD/HD-400 - MD-150,4,24,306,,416.9225971755827,,702.1591706529746,,,,497.75823188904786,6.456924778091166
1283,1284,MD/HD-400 - MD-50,4,18,309,,451.8942387640604,,717.6982309162892,,,,526.4108814033336,6.433618261046798
1293,1294,MD/HD-400 - MD/HD-100,4,19,319,,494.43140047489055,,800.2580127773523,,,,586.88346727924,6.932581242137663
1296,1297,MD/HD-400 - MD/HD-200,4,25,322,,475.7562554360688,,813.4366074894479,,,,572.7196910775981,7.181118917217503
1298,1299,MD/HD-400 - MD-150,4,20,324,,505.221969341138,,850.3964008502464,,,,599.5647046623412,7.631939660267191
1300,1301,MD/HD-500 - MD/HD-500,5,5,1,,0.0,,0.0,,,,0.0,0.0
1305,1306,MD/HD-500 - MD/HD-100,5,43,6,,22.79506514091205,,28.787860549053832,,,,23.908872668436256,0.165915382861457
1306,1307,MD/HD-500 - MD/HD-200,5,36,7,,32.75340855956719,,37.5566158174798,,,,33.826452007611,0.324651480927636
1320,1321,MD/HD-500 - MD-550,5,14,21,,45.005559267071256,,81.57641795819964,,,,55.913062856337696,0.759127788131235
1321,1322,MD/HD-500 - MD-50,5,42,22,,52.53266039279335,,83.44788132388884,,,,60.01035679681597,0.746873610372094
1322,1323,MD/HD-500 - MD-350,5,39,23,,60.2400660253706,,87.3771321724339,,,,66.25515480655643,0.707961259374713
1327,1328,MD/HD-500 - MD-450,5,13,28,,61.42793976859173,,100.78745559419188,,,,71.40019925463508,0.846574958287924
1328,1329,MD/HD-500 - MD-250,5,37,29,,69.56301323144761,,101.62922410702296,,,,76.93334570061006,0.905668809288215
1334,1335,MD/HD-500 - MD-250,5,35,35,,69.52958398317284,,108.61926262828544,,,,78.0915072277486,0.918276349219246
1343,1344,MD/HD-500 - MD/HD-00,5,41,44,,90.3729293176884,,134.3973120428097,,,,100.02483358208708,1.115853211749547
1350,1351,MD/HD-500 - MD/HD-400,5,40,51,,98.64785128011997,,145.8475190190952,,,,108.95544502697892,1.172019148449421
1358,1359,MD/HD-500 - MD/HD-600,5,6,59,,88.95665858482597,,162.4894973383717,,,,111.05453704090192,1.357204143790078
1371,1372,MD/HD-500 - MD/HD-300,5,38,72,,107.38039499617642,,173.60956609936673,,,,122.95189866603732,1.558065200991224
1375,1376,MD/HD-500 - MD/HD-400,5,4,76,,104.11581293898986,,179.38561366173988,,,,124.84692403911669,1.500710699958757
1381,1382,MD/HD-500 - MD/HD-200,5,34,82,,131.63889047471116,,198.12863668104848,,,,146.31173899357455,1.675958859536967
1397,1398,MD/HD-500 - MD-650,5,15,98,,131.782523223772,,238.7983929280008,,,,163.8274178249063,2.03011334255624
1408,1409,MD/HD-500 - MD-350,5,12,109,,146.30252226536203,,259.3257955938386,,,,178.53787843367772,2.240451393216966
1411,1412,MD/HD-500 - MD-150,5,33,112,,167.38103239903003,,273.17264756677497,,,,191.5495335753688,2.476709628987077
1436,1437,MD/HD-500 - MD/HD-700,5,16,137,,190.20109240349584,,337.53558942738687,,,,231.01424829441328,2.724490022505084
1437,1438,MD/HD-500 - Location 173,5,216,138,,188.85798936723057,,338.4265759913586,,,,232.638755614222,2.985733398411135
1439,1440,MD/HD-500 - MD/HD-300,5,3,140,,189.85826272125485,,340.7527372799456,,,,234.05624776511425,3.007394394036974
1441,1442,MD/HD-500 - MD/HD-100,5,32,142,,213.41219947414163,,347.32644410742984,,,,246.05648580399767,3.197970768760347
1460,1461,MD/HD-500 - MD-750,5,7,161,,224.9640774527612,,399.5280864540719,,,,272.89128102819245,3.243551522480736
1469,1470,MD/HD-500 - MD-250,5,11,170,,238.90049408533528,,424.6783602386281,,,,294.8430370133098,3.794636073260961
1471,1472,MD/HD-500 - MD-50,5,31,172,,253.65059326149955,,425.52130949235146,,,,297.0655877877395,3.835775385869698
1497,1498,MD/HD-500 - MD/HD-200,5,2,198,,281.0525716487416,,508.6086297067383,,,,349.4162955248602,4.548165979029629
1510,1511,MD/HD-500 - MD-150,5,10,211,,331.4202846492216,,593.6803623040126,,,,409.0762432693344,5.337995007547781
1533,1534,MD/HD-500 - MD/HD-00,5,26,234,,389.5790816588087,,651.7743641430941,,,,468.48469239646096,5.813613750917829
1534,1535,MD/HD-500 - MD/HD-00,5,21,235,,387.44765158804654,,655.2441587182075,,,,466.178420580292,5.831986316778011
1535,1536,MD/HD-500 - MD/HD-00,5,29,236,,380.5846122953741,,655.285442851747,,,,461.39278804172096,5.821263075104284
1546,1547,MD/HD-500 - IMD/HD-00,5,30,247,,408.2461204716752,,670.1301688975454,,,,487.07266846705784,5.949107655890245
1547,1548,MD/HD-500 - MD/HD-100,5,9,248,,414.63787070854994,,680.4225413809985,,,,494.35647417041247,6.136625886245351
1560,1561,MD/HD-500 - MD-50,5,28,261,,418.94731423624165,,709.4729337624656,,,,501.93871608128194,6.199050364935381
1565,1566,MD/HD-500 - MD-50,5,23,266,,430.8281629527697,,722.9874711532696,,,,513.6938348914227,6.300164101917979
1569,1570,MD/HD-500 - MD-50,5,27,270,,437.91718447522567,,733.28662661173,,,,521.8384447554225,6.413410011297592
1579,1580,MD/HD-500 - MD-50,5,8,280,,468.6907230107333,,765.5108329194753,,,,554.8053240258128,6.887023398180734
1588,1589,MD/HD-500 - MD/HD-100,5,22,289,,480.9256461772357,,797.7322029130845,,,,571.0310918601227,6.930364880700188
1591,1592,MD/HD-500 - MD/HD-00,5,17,292,,512.6101148781147,,821.3788225698873,,,,600.8119184991339,7.376178128115195
1606,1607,MD/HD-500 - MD-150,5,24,307,,520.1240274210684,,881.5453725803266,,,,621.7918419137577,7.704252145107527
1609,1610,MD/HD-500 - MD-50,5,18,310,,555.0956690095461,,897.0844328436388,,,,650.4444914280432,7.802115834947798
1618,1619,MD/HD-500 - MD/HD-100,5,19,319,,597.6328307203764,,979.6442147047022,,,,710.9170773039499,8.256982839735974
1621,1622,MD/HD-500 - MD/HD-200,5,25,322,,578.9576856815545,,992.8228094168,,,,696.7533011023081,8.377270658098189
1623,1624,MD/HD-500 - MD-150,5,20,324,,608.4233995866247,,1029.7826027775984,,,,723.5983146870522,8.908273644807336
1625,1626,MD/HD-600 - MD/HD-600,6,6,1,,0.0,,0.0,,,,0.0,0.0
1637,1638,MD/HD-600 - MD/HD-400,6,40,13,,25.54867119264182,,36.62483608444783,,,,26.995747664876124,0.304085133092599
1642,1643,MD/HD-600 - MD-650,6,15,18,,47.05211230287364,,77.67793208691869,,,,56.243884530623646,0.686494278644616
1643,1644,MD/HD-600 - MD-550,6,14,19,,45.05119622910643,,81.97963702317887,,,,56.472139389096405,0.71552997873712
1645,1646,MD/HD-600 - MD-350,6,39,21,,67.13822492662692,,89.74734952915937,,,,70.68030174760743,0.718598445647698
1662,1663,MD/HD-600 - MD/HD-500,6,5,38,,91.65530769217726,,164.6992524861595,,,,113.37075322242212,1.357204143790078
1664,1665,MD/HD-600 - MD/HD-100,6,43,40,,98.4435511128094,,168.83517069667403,,,,120.22785912078248,1.41624618150302
1671,1672,MD/HD-600 - MD/HD-700,6,16,47,,105.47068148259754,,176.41512858630475,,,,123.43071500013065,1.420570902458487
1672,1673,MD/HD-600 - MD/HD-200,6,36,48,,132.2347655015874,,178.38455010856987,,,,140.00781690623975,1.457804192031628
1678,1679,MD/HD-600 - MD-50,6,42,54,,112.65314675316972,,202.32122407829905,,,,139.5902736122097,1.676638158672721
1688,1689,MD/HD-600 - MD-250,6,37,64,,164.98052486579638,,228.93661690941008,,,,176.40497224275848,1.528589040696565
1694,1695,MD/HD-600 - MD-750,6,7,70,,140.23366653186267,,238.4076256129896,,,,165.30774773390965,1.910366395473731
1696,1697,MD/HD-600 - MD/HD-00,6,41,72,,150.49341567806482,,253.27065479722012,,,,179.60475039748076,2.057748077650624
1703,1704,MD/HD-600 - MD-450,6,13,79,,148.4527218806628,,260.36667673376064,,,,179.9557219674462,2.200600590737289
1709,1710,MD/HD-600 - MD-250,6,35,85,,156.55436609524392,,268.1984837678546,,,,186.6470299405597,2.274103089371828
1726,1727,MD/HD-600 - MD/HD-300,6,38,102,,206.12586426604344,,308.60274346589705,,,,226.45404506331408,2.099161004372308
1740,1741,MD/HD-600 - MD/HD-400,6,4,116,,191.14059505106087,,338.96483480130854,,,,233.40244675192767,2.850505377049329
1743,1744,MD/HD-600 - MD/HD-200,6,34,119,,218.6636725867822,,357.7078578206179,,,,254.86726170638585,3.022042403036699
1759,1760,MD/HD-600 - MD-350,6,12,135,,233.32730437743288,,418.90501673340736,,,,287.0934011464888,3.59711615453869
1760,1761,MD/HD-600 - MD-150,6,33,136,,254.4058145111011,,432.7518687063444,,,,300.1050562881801,3.80427527768127
1777,1778,MD/HD-600 - Location 173,6,216,153,,275.88277147930154,,498.00579713092736,,,,341.19427832703315,4.34209916069336
1779,1780,MD/HD-600 - MD/HD-300,6,3,155,,276.8830448333258,,500.3319584195144,,,,342.61177047792535,4.363576946281087
1781,1782,MD/HD-600 - MD/HD-100,6,32,157,,300.43698158621254,,506.905665246999,,,,354.61200851680894,4.519411269594775
1803,1804,MD/HD-600 - MD-250,6,11,179,,325.9252761974063,,584.2575813781966,,,,403.3985597261209,5.146694718414913
1804,1805,MD/HD-600 - MD-50,6,31,180,,340.6753753735701,,585.1005306319207,,,,405.62111050055114,5.17528162680471
1824,1825,MD/HD-600 - MD/HD-200,6,2,200,,368.07735376081274,,668.1878508463068,,,,457.9718182376713,5.894444601314997
1838,1839,MD/HD-600 - MD-150,6,10,214,,418.4450667612927,,753.2595834435814,,,,517.6317659821458,6.684230568150008
1858,1859,MD/HD-600 - MD/HD-00,6,26,234,,476.6038637708797,,811.3535852826627,,,,577.0402151092727,7.15404122378298
1859,1860,MD/HD-600 - MD/HD-00,6,21,235,,474.4724337001176,,814.8233798577761,,,,574.733943293103,7.170131297010927
1860,1861,MD/HD-600 - MD/HD-00,6,29,236,,467.6093944074452,,814.8646639913156,,,,569.948310754532,7.156027816946617
1867,1868,MD/HD-600 - IMD/HD-00,6,30,243,,495.2709025837463,,829.7093900371142,,,,595.6281911798694,7.297323399784898
1868,1869,MD/HD-600 - MD/HD-100,6,9,244,,501.66265282062096,,840.0017625205672,,,,602.9119968832241,7.477084213032966
1884,1885,MD/HD-600 - MD-50,6,28,260,,505.9720963483128,,869.0521549020342,,,,610.4942387940921,7.514124428778862
1890,1891,MD/HD-600 - MD-50,6,23,266,,517.8529450648408,,882.5666922928384,,,,622.2493576042327,7.614776908939043
1891,1892,MD/HD-600 - MD-50,6,27,267,,524.9419665872969,,892.8658477512989,,,,630.3939674682329,7.730599004214092
1903,1904,MD/HD-600 - MD-50,6,8,279,,555.7155051228044,,925.090054059044,,,,663.3608467386255,8.22580625112879
1913,1914,MD/HD-600 - MD/HD-100,6,22,289,,567.9504282893067,,957.3114240526531,,,,679.5866145729327,8.222895452231771
1916,1917,MD/HD-600 - MD/HD-00,6,17,292,,599.6348969901858,,980.9580437094562,,,,709.3674412119466,8.717267505468953
1931,1932,MD/HD-600 - MD-150,6,24,307,,607.14880953314,,1041.1245937198953,,,,730.3473646265678,8.974918472267376
1934,1935,MD/HD-600 - MD-50,6,18,310,,642.1204511216172,,1056.6636539832075,,,,759.000014140855,9.126866554608643
1943,1944,MD/HD-600 - MD/HD-100,6,19,319,,684.6576128324476,,1139.223435844268,,,,819.4726000167618,9.56172131317895
1946,1947,MD/HD-600 - MD/HD-200,6,25,322,,665.982467793626,,1152.4020305563683,,,,805.3088238151182,9.618545832482356
