OID_,Name,OriginID,DestinationID,DestinationRank,Total_Minutes,Total_TravelTime,Total_Miles,Total_Kilometers,Total_TimeAt1KPH,Total_WalkTime,Total_TruckMinutes,Total_TruckTravelTime,Shape_Length
738,MD-50 - MD-50,18,27,7,,142.739331098039713,,202.502553819301511,,,,158.234044688546362,1.405316599751361
739,MD-50 - MD/HD-100,18,9,8,,140.599466250618860,,209.401902756036293,,,,155.918188757033704,1.722590948218301
740,MD-50 - MD-50,18,23,9,,150.447035005981206,,222.357116248889326,,,,167.619087396122154,1.527141322482040
741,MD-50 - MD-50,18,28,10,,160.570605649511975,,227.729881295719025,,,,177.509990138218683,1.625027829036893
742,MD-50 - IMD/HD-00,18,30,11,,167.396293860422986,,234.216027944507232,,,,183.902370610261357,1.997914521638550
743,MD-50 - MD/HD-00,18,26,12,,176.242784815916593,,245.609608787533546,,,,192.601828646904181,2.032616063395176
744,MD-50 - MD/HD-00,18,21,13,,173.411309865512663,,250.026751992014226,,,,189.856320582254881,2.000022166721190
745,MD-50 - MD/HD-00,18,29,14,,180.582379685583874,,257.370824340100000,,,,197.509126147357506,1.994984298479463
746,MD-50 - MD-150,18,24,15,,166.736122215034669,,263.066414014281918,,,,195.374873363226584,1.177615776762960
747,MD-50 - MD/HD-100,18,22,16,,176.046546712247448,,268.143953557785153,,,,199.514631155946972,1.146231950092686
748,MD-50 - MD/HD-200,18,25,17,,170.221579704363137,,287.649566171219249,,,,205.568204916868581,1.794632757249921
749,MD-50 - MD-150,18,10,18,,229.246412719757842,,304.690926756440888,,,,246.604728363059110,2.538948984553600
750,MD-50 - MD/HD-200,18,2,19,,273.970263377077003,,383.336582570281166,,,,303.558026682424156,3.300389597537056
751,MD-50 - MD-50,18,31,20,,319.689963387314378,,465.867847327458549,,,,359.789755601591764,3.975486786231402
752,MD-50 - MD-250,18,11,21,,324.740662618963370,,467.168538306058508,,,,364.834622666282996,4.074940007166328
753,MD-50 - MD/HD-100,18,32,22,,366.164850083088254,,547.244638962578279,,,,416.989214725551392,4.607855694028980
754,MD-50 - MD/HD-300,18,3,23,,363.432792673374877,,550.146642840079608,,,,417.284394010716085,4.882491627974093
755,MD-50 - MD-150,18,33,24,,403.759762287785691,,618.039746742436250,,,,463.545726311307817,5.326362296282690
756,MD-50 - MD-350,18,12,25,,411.092082547163386,,637.691950922254819,,,,477.508051566303891,5.676882679007732
757,MD-50 - MD/HD-200,18,34,26,,454.194568944549189,,699.472787635829832,,,,522.932417282287702,6.130665673929639
758,MD-50 - MD/HD-400,18,4,27,,457.875466862336225,,723.220241318526632,,,,536.239227399605511,6.433618261046798
759,MD-50 - MD-250,18,35,28,,498.910966001870918,,782.603379032498424,,,,575.827522074552235,6.932711135595622
760,MD-50 - MD-450,18,13,29,,494.367882805673105,,785.148368296708213,,,,580.212437960791931,7.012146159142437
761,MD-50 - MD/HD-00,18,41,30,,544.468711006876447,,851.909064475277660,,,,632.639634952094411,7.713379004222882
762,MD-50 - MD-50,18,42,31,,557.682518051625493,,875.823025108303113,,,,648.330251481855726,7.862273309377106
763,MD-50 - MD/HD-500,18,5,32,,548.436322565847490,,882.309154466029668,,,,644.319713802023784,7.802115834947798
764,MD-50 - MD/HD-100,18,43,33,,551.264573743865526,,884.403339784532704,,,,647.293290121031077,7.792270122749193
765,MD-50 - MD/HD-200,18,36,34,,570.899408147933514,,899.327011870164824,,,,657.491007502209072,7.669329796068850
766,MD-50 - MD-350,18,39,35,,600.164866846396308,,960.421162944374032,,,,701.961257823911410,8.412842519144521
767,MD-50 - MD-250,18,37,36,,607.709012819813779,,963.399620159707752,,,,700.597901195208010,7.760158455739772
768,MD-50 - MD-550,18,14,37,,593.011874412640509,,963.898659342357860,,,,699.849429232973648,8.553248513390693
769,MD-50 - MD/HD-400,18,40,38,,638.572652101145422,,1018.891549791035686,,,,744.661548044333699,8.881395462505854
770,MD-50 - MD/HD-300,18,38,39,,648.446756697889896,,1032.078765955487142,,,,747.596859276863029,7.538133307038216
771,MD-50 - MD/HD-600,18,6,40,,636.962973730395447,,1044.811738722529526,,,,754.990903417537879,9.126866554608643
772,MD-50 - MD-650,18,15,41,,699.631984362669982,,1118.577882069357202,,,,813.151207476672766,9.750523694403325
773,MD-50 - MD/HD-700,18,16,42,,758.050553542393800,,1217.315078568743729,,,,880.338037946179838,10.334170637776971
774,MD-50 - MD-750,18,7,43,,792.813538591657903,,1279.307575595429398,,,,922.215070679958217,10.879842089719681
775,MD/HD-100 - MD/HD-100,19,19,1,,0.000000000000000,,0.000000000000000,,,,0.000000000000000,0.000000000000000
776,MD/HD-100 - MD-50,19,18,2,,47.259499602976774,,80.731905201692669,,,,56.129980876236004,0.682880156619952
777,MD/HD-100 - MD-150,19,20,3,,44.290864690000546,,81.054449934539264,,,,55.441167438795510,0.845426629261422
778,MD/HD-100 - MD/HD-00,19,17,4,,92.181918307673840,,155.301602981142594,,,,108.914887832883537,1.360497379208611
779,MD/HD-100 - MD/HD-0,19,1,5,,98.315281179876223,,167.834303392347238,,,,116.524263252371668,1.256616670016521
780,MD/HD-100 - MD-150,19,24,6,,132.163293439313151,,175.709503852164232,,,,138.618552433651445,0.893469785151750
781,MD/HD-100 - MD/HD-100,19,22,7,,134.265194256548483,,198.350412977245128,,,,149.585932225417281,1.357059399437822
782,MD/HD-100 - MD-50,19,8,8,,125.377068611064956,,204.255526453120183,,,,143.910557420419508,1.643005648130883
783,MD/HD-100 - MD/HD-200,19,25,9,,136.757074463402546,,206.756196394600977,,,,150.654138389898065,1.228995660227347
784,MD/HD-100 - MD-50,19,27,10,,171.343941792129357,,264.309785710821131,,,,194.073039162832430,1.859157663831805
785,MD/HD-100 - MD-50,19,23,11,,175.515176211445208,,272.877775373139116,,,,199.156318956308411,1.964502373534654
786,MD/HD-100 - MD-50,19,28,12,,187.064931410609233,,286.832153113003528,,,,211.259813573635171,2.065801873422342
787,MD/HD-100 - MD/HD-100,19,9,13,,184.440708243305494,,292.385607512788340,,,,209.772102113513569,2.304920656182424
788,MD/HD-100 - IMD/HD-00,19,30,14,,211.237535853109875,,317.199732701259734,,,,237.756283966741080,2.606849062840207
789,MD/HD-100 - MD/HD-00,19,26,15,,220.084026808603312,,328.593313544285706,,,,246.455742003384046,2.594478959391481
790,MD/HD-100 - MD/HD-00,19,21,16,,217.252551858199126,,333.010456748766387,,,,243.710233938734632,2.551809264785329
791,MD/HD-100 - MD/HD-00,19,29,17,,222.449029281853228,,339.742628022627628,,,,249.014949736062107,2.529831587108287
792,MD/HD-100 - MD-150,19,10,18,,273.087654712444476,,387.674631513193219,,,,300.458641719539230,3.102075920262372
793,MD/HD-100 - MD/HD-200,19,2,19,,317.811505369763665,,466.320287327033270,,,,357.411940038904049,3.829981670944826
794,MD/HD-100 - MD-50,19,31,20,,363.531205380001040,,548.851552084210653,,,,413.643668958071601,4.466453750501800
795,MD/HD-100 - MD-250,19,11,21,,368.581904611650089,,550.152243062810498,,,,418.688536022762833,4.599207798108019
796,MD/HD-100 - MD/HD-100,19,32,22,,410.006092075774973,,630.228343719330383,,,,470.843128082031285,5.060837872942302
797,MD/HD-100 - MD/HD-300,19,3,23,,407.274034666061539,,633.130347596831598,,,,471.138307367195921,5.399245621433117
798,MD/HD-100 - MD-150,19,33,24,,447.601004280472523,,701.023451499187900,,,,517.399639667787824,5.783175200033420
799,MD/HD-100 - MD-350,19,12,25,,454.933324539850048,,720.675655679007491,,,,531.361964922783955,6.186559744430300
800,MD/HD-100 - MD/HD-200,19,34,26,,498.035810937236022,,782.456492392581481,,,,576.786330638766685,6.598335223622115
801,MD/HD-100 - MD/HD-400,19,4,27,,501.716708855023057,,806.203946075279646,,,,590.093140756085290,6.932581242137663
802,MD/HD-100 - MD-250,19,35,28,,542.752207994558717,,865.587083789250073,,,,629.681435431031218,7.408919446503735
803,MD/HD-100 - MD-450,19,13,29,,538.209124798359994,,868.132073053461227,,,,634.066351317271710,7.488625357817490
804,MD/HD-100 - MD/HD-00,19,41,30,,588.309952999563052,,934.892769232030673,,,,686.493548308574191,8.234630017829266
805,MD/HD-100 - MD-50,19,42,31,,601.523760044311985,,958.806729865056127,,,,702.184164838335505,8.362030488093538
806,MD/HD-100 - MD/HD-500,19,5,32,,592.277564558534209,,965.292859222782681,,,,698.173627158503564,8.256982839735974
807,MD/HD-100 - MD/HD-100,19,43,33,,595.105815736552245,,967.387044541285718,,,,701.147203477510857,8.257567077984680
808,MD/HD-100 - MD/HD-200,19,36,34,,614.740650140621369,,982.310716626916474,,,,711.344920858688170,8.105212304600139
809,MD/HD-100 - MD-350,19,39,35,,644.006108839083026,,1043.404867701127159,,,,755.815171180391189,8.844173015321354
810,MD/HD-100 - MD-250,19,37,36,,651.550254812501748,,1046.383324916459514,,,,754.451814551687107,8.154668749110375
811,MD/HD-100 - MD-550,19,14,37,,636.853116405327228,,1046.882364099110418,,,,753.703342589453428,9.013378780234584
812,MD/HD-100 - MD/HD-400,19,40,38,,682.413894093832141,,1101.875254547788700,,,,798.515461400813479,9.306328533673842
813,MD/HD-100 - MD/HD-300,19,38,39,,692.287998690577751,,1115.062470712239246,,,,801.450772633342126,7.886154303309498
814,MD/HD-100 - MD/HD-600,19,6,40,,680.804215723082166,,1127.795443479281630,,,,808.844816774017659,9.561721313178950
815,MD/HD-100 - MD-650,19,15,41,,743.473226355356701,,1201.561586826109306,,,,867.005120833152546,10.168565174284822
816,MD/HD-100 - MD/HD-700,19,16,42,,801.891795535080519,,1300.298783325495833,,,,934.191951302659618,10.726221883336299
817,MD/HD-100 - MD-750,19,7,43,,836.654780584344621,,1362.291280352181502,,,,976.068984036437996,11.271647162062603
818,MD-150 - MD-150,20,20,1,,0.000000000000000,,0.000000000000000,,,,0.000000000000000,0.000000000000000
819,MD-150 - MD/HD-100,20,19,2,,43.725317632455393,,80.551485915110177,,,,54.947218113730912,0.845426629261422
820,MD-150 - MD/HD-200,20,25,3,,90.436395287667622,,147.743248415302730,,,,102.880611753378815,0.901327942921574
821,MD-150 - MD-50,20,18,4,,90.810522018392632,,161.092006557837379,,,,110.895699519552267,1.526872821673663
822,MD-150 - MD-150,20,24,5,,135.118193900422568,,206.422284784250735,,,,149.738220358933404,1.221957688284349
823,MD-150 - MD/HD-100,20,22,6,,140.261546722896981,,232.708683729082168,,,,163.916001638435375,1.987697238304825
824,MD-150 - MD/HD-0,20,1,7,,218.483079202151544,,233.697333477120878,,,,223.118316459227088,2.088178309546954
825,MD-150 - MD/HD-00,20,17,8,,135.732940723089712,,235.661704337287460,,,,163.680606476200097,2.204313565662253
826,MD-150 - MD-50,20,8,9,,168.928091026480899,,284.615627809264993,,,,198.676276063735855,2.477717946379643
827,MD-150 - MD-50,20,27,10,,177.340294258477797,,298.668056462658171,,,,208.403108575850581,2.597902095029248
828,MD-150 - MD-50,20,23,11,,181.511528677793649,,307.236046124976156,,,,213.486388369326562,2.688135704992026
829,MD-150 - MD-50,20,28,12,,193.061283876957674,,321.190423864840568,,,,225.589882986653322,2.787053200172740
830,MD-150 - MD/HD-100,20,9,13,,227.991730658721423,,372.745708868933320,,,,264.537820756829944,3.106068514270224
831,MD-150 - MD/HD-00,20,29,14,,228.445381748201669,,374.100898774464667,,,,263.345019149080258,3.298381564446820
832,MD-150 - MD/HD-00,20,21,15,,231.073154205145613,,377.916947554280625,,,,265.952887087988927,3.330822591442386
833,MD-150 - MD/HD-00,20,26,16,,236.272422568699170,,384.428989738241000,,,,271.149836491072847,3.379199434095229
834,MD-150 - IMD/HD-00,20,30,17,,254.788558268525833,,397.559834057404657,,,,292.522002610057484,3.419861854728429
835,MD-150 - MD-150,20,10,18,,280.344870699107048,,447.698302564815435,,,,319.023823625521402,3.881189311748591
836,MD-150 - MD/HD-200,20,2,19,,325.128246136426526,,526.364744337515845,,,,376.011649147986191,4.576638836765356
837,MD-150 - MD-50,20,31,20,,370.847946146663844,,608.896009094691749,,,,432.243378067154197,5.175055920233736
838,MD-150 - MD-250,20,11,21,,375.898645378312949,,610.196700073293300,,,,437.288245131845144,5.334693346751878
839,MD-150 - MD/HD-100,20,32,22,,417.322832842437776,,690.272800729811252,,,,489.442837191113540,5.730153993286748
840,MD-150 - MD/HD-300,20,3,23,,414.590775432724342,,693.174804607314627,,,,489.738016476278233,6.122748290123230
841,MD-150 - MD-150,20,33,24,,454.917745047135099,,761.067908509668769,,,,535.999348776870534,6.449850529526648
842,MD-150 - MD-350,20,12,25,,462.250065306512795,,780.720112689489838,,,,549.961674031866096,6.899329708828551
843,MD-150 - MD/HD-200,20,34,26,,505.352551703898598,,842.500949403062350,,,,595.386039747849281,7.269895070116214
844,MD-150 - MD/HD-400,20,4,27,,509.033449621685634,,866.248403085761652,,,,608.692849865167318,7.631939660267191
845,MD-150 - MD-250,20,35,28,,550.068948761221122,,925.631540799730942,,,,648.281144540113814,8.084589535991530
846,MD-150 - MD-450,20,13,29,,545.525865565022627,,928.176530063943233,,,,652.666060426353738,8.164209227064678
847,MD-150 - MD/HD-00,20,41,30,,595.626693766225685,,994.937226242512679,,,,705.093257417656218,8.950361253110032
848,MD-150 - MD-50,20,42,31,,608.840500810974618,,1018.851186875538133,,,,720.783873947417533,9.056839759850110
849,MD-150 - MD/HD-500,20,5,32,,599.594305325196842,,1025.337316233264801,,,,716.773336267585591,8.908273644807336
850,MD-150 - MD/HD-100,20,43,33,,602.422556503214878,,1027.431501551767724,,,,719.746912586592885,8.919154175225579
851,MD-150 - MD/HD-200,20,36,34,,622.057390907284002,,1042.355173637397456,,,,729.944629967770538,8.738258846428998
852,MD-150 - MD-350,20,39,35,,651.322849605745660,,1103.449324711609052,,,,774.414880289473217,9.469591488497924
853,MD-150 - MD-250,20,37,36,,658.866995579164040,,1106.427781926939133,,,,773.051523660769590,8.745682845812272
854,MD-150 - MD-550,20,14,37,,644.169857171989861,,1106.926821109591629,,,,772.303051698535455,9.667168417390778
855,MD-150 - MD/HD-400,20,40,38,,689.730634860494774,,1161.919711558269682,,,,817.115170509895506,9.923524426181393
856,MD-150 - MD/HD-300,20,38,39,,699.604739457240157,,1175.106927722718865,,,,820.050481742424608,8.430734656833243
857,MD-150 - MD/HD-600,20,6,40,,688.120956489744799,,1187.839900489762840,,,,827.444525883099686,10.188178120174525
858,MD-150 - MD-650,20,15,41,,750.789967122019334,,1261.606043836589834,,,,885.604829942234574,10.775795142267775
859,MD-150 - MD/HD-700,20,16,42,,809.208536301743152,,1360.343240335976361,,,,952.791660411741645,11.304561770492905
860,MD-150 - MD-750,20,7,43,,843.971521351007254,,1422.335737362662030,,,,994.668693145520024,11.848136490905720
861,MD/HD-00 - MD/HD-00,21,21,1,,0.000000000000000,,0.000000000000000,,,,0.000000000000000,0.000000000000000
862,MD/HD-00 - MD/HD-00,21,26,2,,10.859419013829921,,8.577023899026186,,,,10.878134035217276,0.069269810010215
863,MD/HD-00 - MD/HD-00,21,29,3,,12.423998870383974,,11.706424123988821,,,,12.781988882569424,0.093275963786076
864,MD/HD-00 - IMD/HD-00,21,30,4,,41.019014030359159,,45.797136200741996,,,,41.162578777232603,0.364591574888199
865,MD/HD-00 - MD/HD-100,21,9,5,,40.388160806885239,,46.821645093273204,,,,41.178391990966468,0.313684577127897
866,MD/HD-00 - MD-50,21,28,6,,51.112531616764542,,65.886352106966584,,,,53.653747782680298,0.650586535258335
867,MD/HD-00 - MD-50,21,23,7,,59.360913155522567,,71.620822795893531,,,,61.181586180630596,0.720948699328775
868,MD/HD-00 - MD-150,21,10,8,,60.907303413214358,,74.312004598179442,,,,62.257773561268195,0.551052034020033
869,MD/HD-00 - MD-50,21,27,9,,66.618459834841502,,81.658826565699613,,,,69.372360399955184,0.765867475714275
870,MD/HD-00 - MD-50,21,8,10,,94.441013109068209,,131.909936631749588,,,,101.627241846366729,1.055678658807436
871,MD/HD-00 - MD/HD-100,21,22,11,,109.458396379988699,,146.365554555708286,,,,118.518843149330735,1.463731148310258
